model,condition,family,snr_db,n_utterances,ref_words,wer,substitution_rate,insertion_rate,deletion_rate,length_ratio,mean_cer
wav2vec2-base,babble_-10db,babble,-10.0,100,1672,1.2547846889952152,0.937200956937799,0.2834928229665072,0.03409090909090909,1.249401913875598,0.8438109715549287
wav2vec2-base,babble_-5db,babble,-5.0,100,1672,1.2541866028708133,0.9324162679425837,0.29366028708133973,0.028110047846889953,1.2655502392344498,0.8209010934810992
wav2vec2-base,babble_0db,babble,0.0,100,1672,1.1895933014354068,0.8755980861244019,0.30023923444976075,0.01375598086124402,1.2864832535885167,0.7850183314311145
wav2vec2-base,babble_20db,babble,20.0,100,1672,0.07775119617224881,0.06220095693779904,0.005382775119617225,0.010167464114832535,0.9952153110047847,0.038154946935747884
wav2vec2-base,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,1672,1.0191387559808613,0.5998803827751196,0.035287081339712915,0.3839712918660287,0.6513157894736842,0.7969860498827239
wav2vec2-base,clean,clean,,100,1672,0.05203349282296651,0.041866028708133975,0.0023923444976076554,0.00777511961722488,0.9946172248803827,0.016394410821950204
wav2vec2-base,codec_opus_6k,codec_opus_6k,,100,1672,0.16686602870813397,0.13157894736842105,0.008971291866028708,0.02631578947368421,0.9826555023923444,0.08709686843218505
wav2vec2-base,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,1672,1.2338516746411483,0.93122009569378,0.2631578947368421,0.039473684210526314,1.2236842105263157,0.8144783760482706
wav2vec2-base,noise_-10db,noise,-10.0,100,1672,0.7015550239234449,0.30023923444976075,0.019138755980861243,0.38217703349282295,0.6369617224880383,0.5716819583040492
wav2vec2-base,noise_-5db,noise,-5.0,100,1672,0.5382775119617225,0.2577751196172249,0.013157894736842105,0.2673444976076555,0.7458133971291866,0.41997609006749065
wav2vec2-base,noise_0db,noise,0.0,100,1672,0.38516746411483255,0.229066985645933,0.01555023923444976,0.14055023923444976,0.875,0.2693186752878392
wav2vec2-base,noise_20db,noise,20.0,100,1672,0.06698564593301436,0.05382775119617225,0.0035885167464114833,0.009569377990430622,0.9940191387559809,0.024613002065487128
wav2vec2-base,packet_loss_30pct,packet_loss_30pct,,100,1672,0.1895933014354067,0.14055023923444976,0.012559808612440191,0.03648325358851675,0.9760765550239234,0.09585560035890613
wav2vec2-base,reverb,reverb,,100,1672,0.1166267942583732,0.09688995215311005,0.0035885167464114833,0.016148325358851676,0.9874401913875598,0.04829806100895356
wav2vec2-base,telephone,telephone,,100,1672,0.07057416267942583,0.05801435406698564,0.0023923444976076554,0.010167464114832535,0.9922248803827751,0.028004449766969614
wav2vec2-base,walkie_talkie_0db,walkie_talkie,0.0,100,1672,0.5472488038277512,0.3803827751196172,0.01674641148325359,0.15011961722488038,0.8666267942583732,0.376735796401911
whisper-base,babble_-10db,babble,-10.0,100,1672,3.2464114832535884,0.5179425837320574,2.2960526315789473,0.43241626794258375,2.8636363636363638,2.5031393823588934
whisper-base,babble_-5db,babble,-5.0,100,1672,2.346291866028708,0.4383971291866029,1.4132775119617225,0.4946172248803828,1.9186602870813396,1.7382087349061137
whisper-base,babble_0db,babble,0.0,100,1672,1.75,0.513755980861244,1.0478468899521531,0.18839712918660287,1.8594497607655502,1.9353077655866406
whisper-base,babble_20db,babble,20.0,100,1672,0.10885167464114832,0.07715311004784689,0.02033492822966507,0.011363636363636364,1.0089712918660287,0.048433169883979776
whisper-base,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,1672,4.20933014354067,0.4892344497607656,3.248803827751196,0.47129186602870815,3.777511961722488,2.8987965198392063
whisper-base,clean,clean,,100,1672,0.0819377990430622,0.05921052631578947,0.01076555023923445,0.011961722488038277,0.9988038277511961,0.039201386309764684
whisper-base,codec_opus_6k,codec_opus_6k,,100,1672,0.19138755980861244,0.13516746411483255,0.03110047846889952,0.025119617224880382,1.005980861244019,0.1122612196746708
whisper-base,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,1672,1.7882775119617225,0.409688995215311,0.8295454545454546,0.5490430622009569,1.2805023923444976,1.4326874738082076
whisper-base,noise_-10db,noise,-10.0,100,1672,1.2822966507177034,0.3833732057416268,0.8044258373205742,0.09449760765550239,1.7099282296650717,0.769716262816322
whisper-base,noise_-5db,noise,-5.0,100,1672,1.0789473684210527,0.3223684210526316,0.7242822966507177,0.03229665071770335,1.6919856459330143,0.7111373272749512
whisper-base,noise_0db,noise,0.0,100,1672,0.2900717703349282,0.19916267942583732,0.05861244019138756,0.03229665071770335,1.0263157894736843,0.18879415146791334
whisper-base,noise_20db,noise,20.0,100,1672,0.09629186602870814,0.06818181818181818,0.01375598086124402,0.014354066985645933,0.9994019138755981,0.043160073354511476
whisper-base,packet_loss_30pct,packet_loss_30pct,,100,1672,0.22607655502392343,0.16208133971291866,0.03648325358851675,0.02751196172248804,1.0089712918660287,0.13831240735699624
whisper-base,reverb,reverb,,100,1672,0.13337320574162678,0.09988038277511961,0.017942583732057416,0.01555023923444976,1.0023923444976077,0.06846531597260422
whisper-base,telephone,telephone,,100,1672,0.10107655502392345,0.0735645933014354,0.01555023923444976,0.011961722488038277,1.0035885167464116,0.04867056250810629
whisper-base,walkie_talkie_0db,walkie_talkie,0.0,100,1672,0.6064593301435407,0.2679425837320574,0.30442583732057416,0.03409090909090909,1.270334928229665,0.41349312825041024
